"aha_id","year","Core","ClinInteropFx","DataUse","breadth_of_exchange","Friction","Barriers","Methods","InfoBlocking","largebed","medbed","smallbed","cah","cbsatype","piemr","mhsmemb","weight"
"6212675",2025,52.0833333333333,0.625,0.5,0.4375,16.031746031746,0.377777777777778,0.103174603174603,0,1,0,0,0,"Metro","Allscripts",NA,1.9431787
"6212700",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,1,0,0,0,"Metro","Epic",1,1.5115956
"6212830",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,0,1,0,0,"Metro","Epic",1,1.4791714
"6212925",2025,100,1,1,1,39.2592592592593,0.344444444444444,0.5,0.333333333333333,1,0,0,0,"Metro","Epic",NA,1.880547
"6212990",2025,79.1666666666667,0.875,0.5,1,16.4021164021164,0,0.492063492063492,0,1,0,0,0,"Metro","Altera Digital Health",1,1.4890608
"6213010",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,0,1,0,0,"Metro","Epic",1,1.4473522
"6213060",2025,87.5,1,1,0.625,45.9259259259259,0.488888888888889,0.888888888888889,0,1,0,0,0,"Metro","Epic",NA,2.2075148
"6213070",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,0,1,0,0,"Metro","Epic",1,1.657099
"6213100",2025,100,1,1,1,34.4973544973545,0.233333333333333,0.801587301587302,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6213140",2025,87.5,1,1,0.625,68.7301587301587,0.466666666666667,0.595238095238095,1,1,0,0,0,"Metro","Epic",1,1.4890608
"6213180",2025,91.6666666666667,1,0.75,1,35.3968253968254,0.466666666666667,0.595238095238095,0,1,0,0,0,"Metro","Epic",1,1.5115956
"6213335",2025,87.5,1,1,0.625,68.7301587301587,0.466666666666667,0.595238095238095,1,1,0,0,0,"Metro","Epic",1,1.4890608
"6213720",2025,75,1,0.75,0.5,24.1798941798942,0.122222222222222,0.603174603174603,0,0,1,0,0,"Metro","Epic",1,1.7829912
"6213735",2025,87.5,1,1,0.625,63.968253968254,0.466666666666667,0.452380952380952,1,0,1,0,0,"Metro","Allscripts",1,1.490646
"6213830",2025,54.1666666666667,0.875,0.5,0.25,18.4656084656085,0.411111111111111,0.142857142857143,0,0,1,0,0,"Micro","Epic",1,1.7632353
"6213900",2025,87.5,1,1,0.625,53.015873015873,0.9,0.690476190476191,0,0,0,1,0,"Metro","Meditech",NA,2.825819
"6213977",2025,75,0.75,0.5,1,12.6984126984127,0,0.380952380952381,0,0,1,0,0,"Metro","Altera Digital Health",1,1.490646
"6213990",2025,91.6666666666667,1,0.75,1,42.8571428571429,0.444444444444444,0.841269841269841,0,0,1,0,0,"Micro","Epic",1,1.4782664
"6214055",2025,97.9166666666667,1,1,0.9375,29.9470899470899,0.2,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.490646
"6214140",2025,66.6666666666667,1,0.5,0.5,64.3386243386243,0.7,0.563492063492063,0.666666666666667,0,1,0,0,"Metro","Cerner",1,1.490646
"6214180",2025,66.6666666666667,1,0.5,0.5,64.3386243386243,0.7,0.563492063492063,0.666666666666667,0,0,1,0,"Metro","Cerner",1,1.8714032
"6214280",2025,79.1666666666667,1,0.75,0.625,48.4656084656085,0.7,0.753968253968254,0,1,0,0,0,"Metro","Epic",1,1.7183632
"6214290",2025,79.1666666666667,1,0.75,0.625,48.4656084656085,0.7,0.753968253968254,0,1,0,0,0,"Metro","Epic",1,1.4890608
"6214330",2025,100,1,1,1,28.9417989417989,0.288888888888889,0.246031746031746,0.333333333333333,1,0,0,0,"Metro","Epic",1,1.4890608
"6214360",2025,97.9166666666667,1,1,0.9375,28.3597883597884,0.2,0.650793650793651,0,0,1,0,0,"Metro","Epic",1,1.6728343
"6214390",2025,75,0.75,1,0.5,17.2486772486773,0.366666666666667,0.150793650793651,0,0,1,0,0,"Metro","Altera Digital Health",NA,2.2114289
"6214410",2025,97.9166666666667,1,1,0.9375,29.9470899470899,0.2,0.698412698412698,0,0,1,0,0,"Metro","Epic",1,1.490646
"6214520",2025,41.6666666666667,0.5,0.75,0,23.3333333333333,0.533333333333333,0.166666666666667,0,0,1,0,0,"Metro","Epic",NA,1.8834013
